env_name,test_id,naive_success,naive_collision,naive_path,naive_time,naive_d0,naive_d_avg,std_cp_success,std_cp_collision,std_cp_path,std_cp_tau,learn_success,learn_collision,learn_path,learn_time,learn_tau,learn_d0,learn_d_avg
office01add,1,100.0,0.0,18.057993400480168,82.14156079292297,0.1802775637731994,0.6516172511649625,86.3,0.0,18.798371129899852,0.17,100.0,1.5969132480246206,19.360829046420978,79.22295918603794,0.1442946197893913,0.2957132596047124,0.7456421146700191
office01add,2,100.0,0.0,15.956152697429522,13.868167638778688,0.206155281280883,0.6937354913027677,86.3,0.0,16.610354958024132,0.17,100.0,0.660570130793456,16.970576716061885,14.798929057931243,0.12715145534998346,0.3078764455608698,0.7819449686498504
office01add,3,100.0,0.0,15.268325934069823,24.356443643569943,0.2121320343559642,0.4803417232261014,86.3,0.0,15.894327297366685,0.17,100.0,2.2799310311408725,16.240885896878126,25.52846426018335,0.1273957560256333,0.31404863917647086,0.5415352202071462
office02,1,100.0,0.0,29.443971734214497,1.1046106815338137,0.2121320343559642,0.6774680585745326,86.3,0.0,30.651174575317288,0.17,98.0,2.203509262601091,31.957614157944853,1.1149961195529423,0.17074071707584557,0.3487246080166406,0.7931394406915292
office02,3,100.0,0.0,34.75892077242554,29.80281662940979,0.25,0.619205093499087,86.3,0.0,36.184036524094985,0.17,98.0,1.6309708047740854,37.67505123097894,29.917193648787084,0.16779177222710429,0.3842334177816834,0.7231026135093487
shopping_mall,1,100.0,0.0,46.72173245942026,108.7096781730652,0.1802775637731994,0.6357066711397745,86.3,0.0,48.637323490256485,0.17,98.0,2.0758652804121125,50.96287800424992,96.61096756515626,0.18154915588856957,0.325516888484055,0.7511186806779331
shopping_mall,2,100.0,0.0,49.51758943811216,69.23460865020752,0.206155281280883,0.6414303062660981,86.3,0.0,51.54781060507476,0.17,98.0,0.9434053659752502,53.72217258309484,67.15550739226018,0.16982180242184963,0.34201272321836274,0.7503591570042059
shopping_mall,3,100.0,0.0,50.77310578454907,34.54829239845276,0.1802775637731994,0.6679919746226466,86.3,0.0,52.85480312171558,0.17,98.0,1.5444614239356875,55.22590899198884,33.363634159819924,0.17540007209071765,0.32059762144577353,0.7851578151274796
room02,1,100.0,0.0,16.63708471541908,0.2477562427520752,0.25,0.65487601731184,86.3,0.0,17.31920518875126,0.17,100.0,4.245249496073904,17.87143053799193,0.25845673183722745,0.14838486954735183,0.3687078956378815,0.7520497097103466
room02,2,100.0,0.0,13.83687957212728,15.540185451507568,0.206155281280883,0.513396004241283,86.3,0.0,14.404191634584498,0.17,100.0,2.8333188254974444,14.75445805261812,15.207042328025961,0.13262794920022156,0.31225764064106026,0.5814866634113925
room02,3,100.0,0.0,13.124860511835092,9.75074577331543,0.1802775637731994,0.7159420074698178,86.3,0.0,13.66297979282033,0.17,100.0,3.22426663598333,14.004171630831474,9.39429265738701,0.13399168977125195,0.287470915590201,0.811872286828921
maze,3,100.0,0.0,38.56762154928909,66.14489126205444,0.1802775637731994,0.4233751337344722,86.3,0.0,40.14889403280994,0.17,95.0,1.5227789236039975,42.348331987705635,71.23539920799475,0.19605618840585365,0.33712251449788233,0.5063804487202713
narrow_graph,1,100.0,0.0,27.918526380288064,19.054017782211304,0.2,0.3699517032479901,86.3,0.0,29.063185961879874,0.17,95.0,4.081729870293824,30.802688316588295,20.035435281160225,0.20661276293841938,0.3652902103507355,0.44638844680983153
narrow_graph,2,100.0,0.0,28.140183848202494,2.9511590003967285,0.1802775637731994,0.4237710752072092,86.3,0.0,29.293931385978794,0.17,95.0,0.6958708017311039,30.87724596913405,2.9791332764218827,0.19453050738375963,0.33590196968020714,0.5062074774818289
narrow_graph,3,100.0,0.0,25.1090993518998,2.4136929512023926,0.1802775637731994,0.4348931671765214,86.3,0.0,26.13857242532769,0.17,95.0,0.0,27.876233241753436,2.3687931377765463,0.22040885266912386,0.3566046459084985,0.53074747118754
